name
Charlemagne
Louis XIV
Henry VIII
Peter the Great
Frederick the Great
Philip II
Justinian I
William the Conqueror
Richard the Lionheart
John Lackland
Edward I
Robert the Bruce
Charles V
Suleiman the Magnificent
Gustavus Adolphus
Charles XII
Napoleon Bonaparte
Alexander the Great
Julius Caesar
Augustus
Constantine the Great
Clovis I
Pepin the Short
Otto I
Henry IV
Frederick Barbarossa
Richard III
Henry V
Louis IX
Philip IV
Ferdinand II
Isabella I
Charles I
James I
George III
Victor Emmanuel II
Wilhelm I
Nicholas II
Christian IV
Canute the Great
Harald Hardrada
Olaf II
Erik the Victorious
Svein Forkbeard
Gorm the Old
Harald Bluetooth
Valdemar the Great
Haakon VII
Gustav I
Leopold II
Albert I
Baudouin
Carl XVI Gustaf
Harald V
Willem-Alexander
Felipe VI
Henri
Hans-Adam II
Albert II
Juan Carlos I
Constantine II
Michael I
Simeon II
Umberto II
Paul
George II
Alexander
Ferdinand I
Carol I
Milan I
Peter I
Alexander I
Nicholas I
Christian IX
Frederick VII
Oscar II
Charles XV
Haakon IV
Magnus VI
Olav V
Gustav VI Adolf
Christian X
Frederick IX
George I
Edward VII
George V
Edward VIII
George VI
William IV
Victoria
Alfred the Great
Aethelstan
Edgar the Peaceful
Cnut the Great
Edward the Confessor
Harold Godwinson
Stephen
Henry II
Richard II
Henry VI
Edward IV
Henry VII
James VI
Charles II
James II
William III
George II
George IV
